Keyword,Currency,Avg. monthly searches,Thay ??i trong ba tháng,Thay ??i so v?i cùng k? n?m tr??c,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
n??c hoa gucci n?,VND,880,0%,-23%,Cao,100,452,2185,,,,,,880,1300,1300,720,720,720,720,1000,880,1000,880,1000
n??c hoa tom ford nam,VND,1000,23%,0%,Cao,100,413,1949,,,,,,1000,1300,880,720,880,880,880,1000,1000,1300,1300,1600
n??c hoa jimmy choo,VND,1000,0%,-38%,Cao,100,279,2131,,,,,,1300,1300,1600,880,880,880,880,880,1000,1000,1300,1000
n??c hoa allure,VND,480,0%,-33%,Cao,100,387,11864,,,,,,590,590,590,480,480,480,480,480,480,480,480,480
n??c hoa n? chanel,VND,320,-18%,-33%,Cao,100,1045,39641,,,,,,320,390,390,260,260,260,260,210,260,390,320,320
club the nuit woman,VND,110,-18%,-47%,Cao,99,1329,2526,,,,,,170,170,140,70,90,90,70,70,70,110,70,90
n??c hoa giò,VND,2400,0%,-33%,Cao,100,615,2583,,,,,,2900,3600,3600,2400,2400,2400,2400,2400,2400,2400,2400,2400
n??c hoa coco,VND,590,0%,-41%,Cao,100,864,7938,,,,,,880,880,880,590,590,480,480,590,480,590,590,590
n??c hoa chính hãng n?,VND,170,0%,-93%,Cao,100,1190,5008,,,,,,720,260,320,50,110,70,50,50,70,110,110,110
nuoc hoa kinh duc nu,VND,10,0%,0%,Th?p,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa cao c?p,VND,4400,83%,128%,Th?p,9,975,4451,,,,,,3600,4400,4400,5400,4400,4400,5400,5400,4400,3600,6600,6600
n??c hoa chanel cho n?,VND,880,0%,-23%,Cao,100,619,4281,,,,,,880,1000,880,720,720,880,720,390,590,1000,1000,1000
n??c hoa adidas,VND,590,23%,-18%,Cao,100,2093,11077,,,,,,880,880,880,720,590,590,590,720,590,480,480,590
n??c hoa tom ford n?,VND,590,-18%,-33%,Cao,100,210,2091,,,,,,590,880,720,480,480,390,590,480,590,720,590,590
n??c hoa scandal n?,VND,720,0%,-12%,Cao,100,612,1411,,,,,,880,1000,880,480,390,480,480,480,590,880,880,880
le labo 33 50ml,VND,20,0%,-25%,Cao,71,,,,,,,,30,30,30,10,30,20,20,20,20,30,20,30
le labo vietnam,VND,260,53%,-84%,Cao,87,1058,2352,,,,,,720,210,260,170,170,170,170,170,140,170,260,260
n??c hoa hermes nam,VND,720,0%,0%,Cao,100,353,2974,,,,,,720,880,720,590,590,590,590,590,720,880,880,880
n??c hoa gucci flora,VND,1300,-19%,-19%,Cao,100,637,2335,,,,,,1300,1600,1600,880,1000,880,1000,1300,1300,1600,1300,1300
n??c hoa lancome tresor,VND,320,-46%,-46%,Cao,100,1058,4123,,,,,,480,480,390,260,210,210,210,260,320,480,320,260
n??c hoa ck n?,VND,880,-18%,-28%,Cao,100,452,2109,,,,,,880,1000,1000,720,720,720,720,880,720,880,590,720
n??c hoa vùng kín n?,VND,210,-46%,-64%,Cao,100,260,4077,,,,,,260,390,320,170,210,210,210,170,210,260,140,140
gia công n??c hoa,VND,320,0%,0%,Th?p,12,7742,27204,,,,,,480,480,390,390,260,210,140,170,260,480,320,480
n??c hoa hugo boss nam,VND,320,0%,-18%,Cao,100,369,3455,,,,,,390,390,320,210,260,260,320,320,320,320,260,320
n??c hoa kích thích ph? n?,VND,140,91%,600%,Cao,100,3580,8090,,,,,,10,90,70,110,170,320,110,90,140,110,90,210
dior n??c hoa n?,VND,320,0%,-19%,Cao,100,472,1824,,,,,,390,320,390,210,320,260,210,390,320,390,320,390
n??c hoa zara n?,VND,480,0%,-18%,Cao,94,1831,13048,,,,,,480,590,480,390,260,320,260,390,480,590,590,590
n??c hoa dành cho n?,VND,90,-36%,-47%,Cao,100,269,2277,,,,,,90,140,140,70,70,70,90,90,90,140,90,90
nuoc hoa n?,VND,320,0%,-18%,Cao,100,927,3456,,,,,,320,480,590,320,260,320,260,320,260,320,260,320
n??c hoa n? dior,VND,260,-19%,-33%,Cao,100,753,2927,,,,,,260,320,320,210,210,210,210,260,210,320,260,260
n??c hoa prada,VND,2900,0%,24%,Cao,100,236,1507,,,,,,2400,2400,2900,2400,2400,2400,2400,2900,2900,3600,3600,3600
nuoc hoa lancome,VND,720,-33%,-41%,Cao,100,440,3011,,,,,,880,880,880,720,590,590,590,1000,1000,880,720,590
nuoc hoa ck,VND,590,-18%,-33%,Cao,100,398,1903,,,,,,720,880,720,590,480,480,590,590,480,720,590,590
n??c hoa chanel coco n?,VND,260,24%,-64%,Cao,100,335,2610,,,,,,590,480,390,260,210,210,260,210,210,170,170,210
n??c hoa delina,VND,3600,-19%,-19%,Cao,100,388,1963,,,,,,4400,5400,5400,3600,2900,2900,2900,3600,3600,5400,3600,4400
n??c hoa chanel n? chính hãng,VND,320,0%,-18%,Cao,100,343,2512,,,,,,210,390,390,260,210,260,210,170,320,320,320,320
n??c hoa nam charme,VND,170,-18%,-56%,Cao,100,694,1575,,,,,,210,260,260,170,170,170,210,170,170,170,140,140
n??c hoa coach,VND,880,-12%,-12%,Cao,100,305,1849,,,,,,880,880,880,720,880,720,720,880,720,1000,1000,880
n??c hoa nam mùa hè,VND,390,-18%,-18%,Cao,77,190,1230,,,,,,110,320,590,720,880,590,590,320,320,110,90,90
n??c hoa kích n?,VND,50,-71%,-50%,Cao,94,3297,8095,,,,,,110,110,20,20,50,140,30,10,20,70,20,20
n??c hoa yves saint laurent,VND,18100,50%,50%,Cao,70,263,1311,,,,,,18100,22200,22200,18100,18100,14800,18100,18100,14800,18100,22200,27100
n??c hoa cao c?p n?,VND,110,-88%,-78%,Cao,100,368,4245,,,,,,70,110,140,90,110,110,140,170,170,170,40,20
n??c hoa charme chính hãng,VND,260,0%,50%,Cao,100,694,2093,,,,,,260,320,260,210,210,210,260,320,260,390,320,390
n??c hoa kilian ?en,VND,210,24%,-33%,Cao,100,262,1729,,,,,,320,390,260,170,170,170,140,210,210,210,210,260
n??c hoa bvlgari n?,VND,480,23%,-19%,Cao,100,285,2197,,,,,,480,480,590,480,390,480,480,480,390,390,320,480
nuoc hoa jo malone,VND,2900,0%,0%,Cao,100,229,1830,,,,,,2900,3600,3600,2400,2400,2400,2900,2900,2900,3600,2900,3600
coco chanel n??c hoa n?,VND,30,-25%,-40%,Cao,100,282,7934,,,,,,30,40,40,20,20,90,20,20,20,40,40,30
n??c hoa aqva,VND,390,22%,-34%,Cao,100,769,2091,,,,,,480,590,480,390,390,320,390,390,320,320,320,390
n??c hoa hà n?i,VND,210,0%,86%,Cao,92,2151,8452,,,,,,260,210,210,140,140,170,590,140,140,260,210,260
n??c hoa dior sauvage nam,VND,880,-18%,-55%,Cao,100,586,2288,,,,,,1300,1300,880,720,720,720,720,590,720,880,880,720
n??c hoa club de nuit n?,VND,320,-19%,-56%,Cao,100,1072,2519,,,,,,590,390,390,320,260,320,320,320,320,260,170,210
ysl n??c hoa n?,VND,320,23%,23%,Cao,100,272,1551,,,,,,320,390,320,260,320,210,260,320,320,390,390,480
nuoc hoa gio,VND,390,23%,0%,Cao,100,536,2093,,,,,,480,480,480,390,320,320,320,320,320,390,390,480
n??c hoa guess,VND,720,0%,-28%,Cao,100,390,2093,,,,,,1000,880,880,720,590,480,590,590,590,720,720,720
vua hàng hi?u n??c hoa,VND,210,0%,-46%,Cao,100,1861,7813,,,,,,320,320,260,170,110,70,110,260,210,210,170,210
n??c hoa giò nam chính hãng,VND,10,0%,-67%,Cao,100,1069,2980,,,,,,10,10,10,10,20,10,10,10,10,10,10,10
n??c hoa dior joy,VND,260,-34%,0%,Cao,99,1399,2719,,,,,,210,260,260,170,390,320,260,260,210,320,320,210
nuoc hoa le labo,VND,390,-64%,-86%,Cao,100,199,1678,,,,,,720,720,720,390,320,320,320,390,320,390,260,140
n??c hoa jadore,VND,390,-18%,-46%,Cao,100,395,6785,,,,,,390,480,480,320,320,320,390,390,390,390,390,320
n??c hoa le labo 13 chính hãng,VND,170,50%,-34%,Cao,100,296,2093,,,,,,210,210,210,170,170,140,140,170,170,140,140,210
n??c hoa adidas nam,VND,50,0%,-36%,Cao,100,1544,9833,,,,,,70,50,70,50,50,70,40,50,50,70,50,70
hermes n??c hoa,VND,880,-18%,-28%,Cao,100,271,2870,,,,,,880,880,880,720,720,880,880,720,720,880,720,720
n??c hoa mini chính hãng,VND,110,27%,0%,Cao,100,803,4089,,,,,,140,140,140,90,90,70,70,110,90,110,70,140
n??c hoa versace chính hãng,VND,170,21%,-47%,Cao,100,812,3452,,,,,,260,260,260,170,170,140,110,140,140,140,140,170
n??c hoa giò n?,VND,320,0%,-33%,Cao,100,786,2093,,,,,,390,390,390,320,320,320,260,390,390,320,320,320
n??c hoa n? mùa hè,VND,170,-40%,-57%,Cao,89,136,867,,,,,,50,170,260,390,480,320,210,140,90,50,20,30
hugo boss n??c hoa,VND,210,50%,22%,Cao,100,322,4597,,,,,,260,260,210,170,140,140,170,210,210,260,320,390
gucci bloom ??,VND,390,-19%,-19%,Cao,100,724,2607,,,,,,390,480,480,320,260,260,320,320,320,480,320,390
n??c hoa n? narciso,VND,90,-47%,29%,Cao,100,874,2378,,,,,,70,90,70,70,70,70,70,70,110,170,90,90
chanel n??c hoa n?,VND,70,100%,100%,Cao,100,463,7078,,,,,,70,50,70,50,50,70,40,50,70,70,50,140
n??c hoa n? armaf club de nuit edp 105ml,VND,70,-64%,-76%,Cao,100,1563,2519,,,,,,90,110,90,20,30,20,30,110,110,140,70,50
giá n??c hoa chanel nam,VND,30,0%,100%,Cao,100,247,873,,,,,,30,50,30,10,30,20,10,20,20,20,40,20
n??c hoa hugo boss n?,VND,210,-19%,-19%,Cao,100,299,2091,,,,,,260,260,260,140,140,140,170,260,210,260,170,210
n??c hoa moschino toy 2,VND,170,-48%,-58%,Cao,100,1032,3840,,,,,,210,260,260,140,210,170,170,170,140,210,140,110
n??c hoa polo nam,VND,170,-35%,-58%,Cao,100,303,2689,,,,,,210,390,210,140,110,140,140,140,140,170,170,110
n??c hoa cao c?p nam,VND,90,22%,-21%,Cao,100,603,3494,,,,,,90,90,110,70,90,50,70,90,70,90,90,110
n??c hoa boss n?,VND,140,0%,-46%,Cao,100,224,1306,,,,,,210,210,210,110,140,110,110,110,110,140,170,140
n??c hoa givenchy,VND,590,0%,-18%,Cao,100,189,1678,,,,,,590,590,590,590,480,480,480,590,590,590,590,590
n??c hoa armaf club de nuit,VND,390,-18%,-18%,Cao,100,615,2522,,,,,,480,590,590,260,260,320,260,260,260,390,390,320
n??c hoa jimmy choo n?,VND,210,0%,-19%,Cao,100,384,2092,,,,,,210,170,260,210,140,210,260,260,320,210,170,210
n??c hoa charme king,VND,260,-19%,-34%,Cao,99,1239,2092,,,,,,260,320,320,260,210,210,210,210,170,260,210,210
n??c hoa d&g,VND,390,0%,-34%,Cao,100,326,1692,,,,,,390,590,480,390,320,390,320,390,320,390,390,390
n??c hoa n? th?m,VND,210,-47%,-56%,Cao,100,185,1450,,,,,,320,390,260,110,110,110,140,170,170,320,210,170
n??c hoa nam tom ford,VND,260,0%,0%,Cao,100,412,2122,,,,,,260,260,260,170,170,210,210,210,260,320,390,320
bán n??c hoa,VND,210,24%,24%,Cao,90,1951,7636,,,,,,260,260,210,170,170,140,140,140,140,210,210,260
n??c hoa t?ng ham mu?n cho n?,VND,40,0%,-71%,Cao,100,3290,4830,,,,,,70,70,50,50,30,30,30,30,20,20,10,20
nuoc hoa versace,VND,480,-33%,-56%,Cao,100,503,2026,,,,,,480,480,590,720,480,390,480,390,390,480,320,320
dior n?,VND,260,0%,-18%,Cao,100,284,1575,,,,,,320,390,320,210,210,260,210,260,260,320,260,320
n??c hoa royal,VND,390,-18%,-33%,Cao,100,786,2867,,,,,,590,590,480,320,320,260,320,320,320,390,320,320
le labo chính hãng,VND,50,-25%,-97%,Cao,94,328,1760,,,,,,210,90,50,40,40,40,30,30,30,40,30,30
n??c hoa chanel h?ng,VND,720,0%,0%,Cao,100,421,7941,,,,,,720,880,590,590,720,720,590,590,590,720,590,720
n??c hoa pháp n? th?m lâu quy?n r?,VND,110,-18%,-47%,Cao,100,166,1679,,,,,,110,170,170,110,110,110,110,90,110,110,70,90
signorina h?ng,VND,480,-56%,-34%,Cao,100,1266,3888,,,,,,480,720,720,320,390,320,260,390,390,880,480,390
shop n??c hoa g?n ?ây,VND,880,0%,14%,Cao,76,2362,4021,,,,,,1300,1000,1000,590,720,590,590,720,720,1000,1000,1000
n??c hoa ariana grande,VND,320,23%,-18%,Cao,100,252,2190,,,,,,480,320,390,260,260,210,210,260,260,260,320,320
n??c hoa le labo chính hãng,VND,390,23%,-45%,Cao,100,285,2091,,,,,,720,720,480,320,140,210,260,170,140,390,480,480
n??c hoa lancome n?,VND,880,82%,0%,Cao,100,434,3552,,,,,,1000,880,1000,590,390,480,590,880,720,880,1300,1600
n??c hoa memoria,VND,50,0%,-56%,Cao,100,1046,2093,,,,,,70,70,90,50,50,40,40,50,30,40,30,40
n??c hoa coach n?,VND,260,-34%,-56%,Cao,100,245,2091,,,,,,320,320,390,320,210,260,260,320,260,320,170,210
narciso ??,VND,880,0%,-12%,Cao,100,800,2354,,,,,,720,880,1000,880,880,720,720,590,720,880,880,880
n??c hoa chính hãng chanel,VND,110,-18%,-18%,Cao,100,857,9606,,,,,,110,140,110,90,90,110,110,110,70,170,140,140
n??c hoa tresor,VND,170,21%,-47%,Cao,100,1666,4237,,,,,,260,210,210,140,140,110,140,170,110,140,170,170
n??c hoa n? versace,VND,170,0%,-19%,Cao,97,890,3684,,,,,,210,260,210,140,140,110,110,140,140,170,170,170
shop n??c hoa hà n?i,VND,140,-21%,-21%,Cao,94,1410,5672,,,,,,140,260,140,110,140,140,170,140,110,140,90,110
club de nuit n?,VND,320,-18%,-18%,Cao,100,962,2522,,,,,,320,390,320,260,260,320,260,320,320,390,320,320
d?u th?m n?,VND,260,0%,-46%,Cao,100,512,1872,,,,,,260,390,320,260,320,260,320,260,260,260,210,260
gucci n??c hoa n?,VND,110,-18%,0%,Cao,100,461,2299,,,,,,110,140,110,50,70,90,110,170,170,170,140,140
n??c hoa n? gucci,VND,140,55%,0%,Cao,100,749,2931,,,,,,170,170,170,110,140,110,210,90,110,110,140,170
n??c hoa charme boss,VND,390,23%,-19%,Cao,100,693,1679,,,,,,480,480,390,320,320,320,390,320,390,390,480,480
n??c hoa coco chanel chính hãng,VND,90,-22%,-36%,Cao,86,279,2518,,,,,,110,110,170,50,70,70,70,70,70,90,90,70
n??c hoa miss sài gòn,VND,390,0%,-19%,Cao,100,562,2262,,,,,,590,590,480,390,320,320,390,320,320,390,590,390
n??c hoa giorgio armani n?,VND,170,-21%,-58%,Cao,100,329,2572,,,,,,210,210,210,140,140,170,170,140,170,140,140,110
n??c hoa h??ng g?,VND,390,0%,-34%,Cao,99,131,959,,,,,,480,390,390,320,320,320,320,320,320,390,390,390
d?u th?m giò,VND,260,24%,-34%,Cao,99,600,1920,,,,,,260,320,320,210,210,210,260,260,210,170,260,210
n??c hoa dolce & gabbana n?,VND,210,-19%,-34%,Cao,100,334,2195,,,,,,210,260,210,170,170,140,140,140,170,260,210,210
n??c hoa dior n? chính hãng,VND,170,0%,-19%,Cao,100,553,2362,,,,,,170,210,170,110,140,110,170,170,170,170,210,170
n??c hoa gucci guilty nam,VND,210,-33%,-64%,Cao,100,230,1678,,,,,,320,320,260,260,140,170,210,210,210,210,170,140
d?u th?m chanel bleu,VND,50,0%,-43%,Cao,100,1058,74307,,,,,,70,40,70,70,70,70,50,40,50,40,40,40
n??c hoa boss charme,VND,90,-22%,-50%,Cao,98,1287,1809,,,,,,170,110,140,70,70,50,70,70,50,90,70,70
n??c hoa mùa hè,VND,260,22%,22%,Cao,93,118,1757,,,,,,110,320,590,590,590,390,170,140,90,90,90,110
n??c hoa le labo 31,VND,170,0%,-85%,Cao,100,153,1679,,,,,,320,480,210,170,90,90,110,110,110,90,110,90
n??c hoa n? th?m d?u,VND,70,0%,-22%,Cao,100,196,2360,,,,,,50,90,140,70,70,70,50,50,50,70,50,70
n??c hoa david beckham,VND,390,22%,-34%,Cao,100,1679,2680,,,,,,720,480,390,320,320,320,320,390,320,320,320,390
versace h?ng,VND,720,0%,-18%,Cao,100,535,1944,,,,,,720,880,880,590,590,590,590,720,720,720,720,720
n??c hoa black opimun chính hãng,VND,110,100%,27%,Cao,100,746,2404,,,,,,70,90,170,210,210,210,40,40,30,70,70,140
n??c hoa m?,VND,390,-18%,-33%,Cao,100,531,3022,,,,,,480,480,390,390,320,390,390,390,320,390,390,320
n??c hoa n? ysl,VND,260,0%,-18%,Cao,100,408,1926,,,,,,260,390,390,210,210,210,320,170,170,320,260,320
n??c hoa signorina h?ng,VND,320,-56%,-46%,Cao,100,1489,4734,,,,,,260,390,320,210,170,210,210,170,320,590,260,260
n??c hoa le labo 33 chính hãng,VND,90,-19%,143%,Cao,100,251,1831,,,,,,70,40,50,40,70,90,70,110,140,210,90,170
n??c hoa chanel allure n?,VND,110,-36%,-57%,Cao,99,1259,39329,,,,,,170,170,170,110,110,90,90,110,90,140,70,90
n??c hoa tiffany & co,VND,170,-18%,0%,Cao,100,,,,,,,,140,210,170,140,140,140,170,170,140,170,170,140
n??c hoa mont blanc,VND,170,-35%,-19%,Cao,100,482,2411,,,,,,140,210,170,140,170,140,170,210,170,260,170,170
n??c hoa th?m lâu cho n?,VND,170,0%,-33%,Cao,97,161,1815,,,,,,110,210,260,170,170,170,170,170,140,140,70,140
n??c hoa bleu chanel n?,VND,140,55%,-19%,Cao,100,1444,19795,,,,,,170,170,140,110,110,110,90,110,140,110,170,170
n??c hoa dior eau de parfum,VND,50,0%,-22%,Cao,100,486,2973,,,,,,70,90,50,50,40,70,50,50,40,70,50,70
n??c hoa very sery n?,VND,90,-50%,75%,Cao,100,989,3396,,,,,,40,40,110,140,50,50,70,90,70,140,170,70
n??c hoa gile,VND,30,-33%,-60%,Cao,94,1508,3097,,,,,,50,70,30,40,40,10,10,10,10,30,20,20
n??c hoa 212 n?,VND,170,0%,-35%,Cao,100,618,3641,,,,,,170,210,260,170,170,170,170,170,140,170,140,170
hugo boss chính hãng,VND,20,100%,-82%,Cao,100,713,3201,,,,,,70,30,20,20,10,10,10,20,20,10,10,20
n??c hoa creed n?,VND,260,-19%,-46%,Cao,100,264,1837,,,,,,320,390,480,260,210,170,260,320,260,260,260,210
trang web bán n??c hoa uy tín t?i vi?t nam,VND,30,-50%,-60%,Cao,96,1848,9353,,,,,,30,40,40,40,30,30,30,20,40,40,40,20
nuoc hoa hermes,VND,210,0%,-19%,Cao,99,305,3093,,,,,,170,260,260,210,320,140,170,170,140,170,170,170
n??c hoa tommy nam,VND,260,23%,23%,Cao,100,367,1831,,,,,,260,320,320,210,210,210,260,320,260,260,320,320
n??c hoa nam versace eros,VND,50,0%,-44%,Cao,100,675,3221,,,,,,40,50,40,30,20,90,50,30,50,50,40,50
n??c hoa pure musc,VND,110,-47%,-18%,Cao,100,582,2092,,,,,,110,110,170,90,90,90,70,110,90,170,110,90
n??c hoa miss dior blooming bouquet,VND,110,21%,55%,Cao,99,612,2354,,,,,,70,90,110,70,50,90,70,110,110,140,90,170
n??c hoa chanel coco 20ml,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,0,10,10,10,0,10,10,10
nuoc hoa chanel gianh cho nu,VND,20,0%,0%,Cao,100,,,,,,,,20,110,20,10,10,10,10,10,10,10,10,10
n??c hoa ysl black optimum 30ml,VND,260,-19%,-46%,Cao,100,237,2092,,,,,,320,320,390,210,170,170,140,140,170,320,260,260
oriflame n??c hoa,VND,210,53%,0%,Cao,99,291,2092,,,,,,170,260,390,210,170,210,210,260,210,170,260,260
mua nuoc hoa kich thich phu nu,VND,10,?,?,Cao,100,,,,,,,,0,10,20,10,10,10,10,0,0,0,10,10
n??c hoa lv n?,VND,1000,-23%,-23%,Cao,100,115,455,,,,,,880,1300,1300,880,880,880,880,880,1000,1300,1000,1000
n??c hoa tendre reve,VND,30,0%,-75%,Cao,99,2970,8550,,,,,,50,30,40,40,20,20,20,10,20,10,30,10
n??c hoa guess n?,VND,260,0%,-34%,Cao,100,488,2093,,,,,,320,320,320,260,210,210,210,210,260,210,210,210
yves saint laurent n??c hoa,VND,2900,0%,24%,Cao,100,239,1342,,,,,,2900,2900,2900,1900,2400,1900,1900,2400,2400,3600,3600,3600
nuoc hoa dolce gabbana n?,VND,170,-35%,120%,Cao,100,293,1814,,,,,,40,210,320,210,110,210,140,110,110,170,140,110
n??c hoa n? lancome,VND,140,-36%,-57%,Cao,100,855,3855,,,,,,140,210,260,110,110,90,110,110,110,140,90,90
ysl perfume n?,VND,40,-20%,-43%,Cao,100,228,1521,,,,,,50,70,50,40,50,40,30,20,30,50,50,40
shop n??c hoa n?,VND,30,0%,33%,Cao,100,1055,5618,,,,,,20,40,30,20,20,30,10,10,30,40,40,40
n??c hoa gucci chính hãng,VND,140,0%,-46%,Cao,100,533,2530,,,,,,140,170,140,90,110,140,170,140,110,140,110,140
n??c hoa nam hugo boss,VND,50,0%,-44%,Cao,100,495,4117,,,,,,70,70,70,40,50,40,40,40,40,50,50,50
n??c hoa ysl black optimum 90ml,VND,480,-34%,-46%,Cao,100,750,2680,,,,,,590,720,880,390,390,260,320,320,320,590,390,390
charme queen,VND,210,-19%,-35%,Cao,100,1288,2092,,,,,,320,260,320,210,210,170,170,170,170,210,140,170
n??c hoa miracle,VND,210,0%,-56%,Cao,100,1130,4260,,,,,,210,260,260,170,170,140,140,210,210,170,170,170
n??c hoa cool water,VND,260,0%,-34%,Cao,100,679,2091,,,,,,320,390,390,260,260,260,260,260,210,210,260,210
dolce & gabbana light blue n?,VND,210,-18%,-46%,Cao,100,366,2679,,,,,,170,210,260,260,320,260,260,210,170,170,140,140
d?u th?m le labo 13,VND,90,29%,-47%,Cao,100,249,2051,,,,,,140,90,110,50,90,90,110,90,90,70,70,90
n??c hoa montblanc n?,VND,590,-18%,0%,Cao,100,588,2312,,,,,,590,720,720,390,480,480,590,720,590,720,480,590
